25.Q2.5							
							
PmEvent Name	Compound Type	Parameter Name	GPB Field Number	PmEventHeader/Payload	Parameter Type	Containing Oneof	Filters
CuCpNgHandoverPreparationFailure	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgHandoverPreparationFailure	Guami	plmn_identity	1	Payload	bytes		
CuCpNgHandoverPreparationFailure	Guami	amf_region_id	2	Payload	int64		
CuCpNgHandoverPreparationFailure	Guami	amf_set_id	3	Payload	int64		
CuCpNgHandoverPreparationFailure	Guami	amf_pointer	4	Payload	int64		
CuCpNgHandoverPreparationFailure	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpNgHandoverPreparationFailure	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpNgHandoverRequest	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgHandoverRequest	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgHandoverRequest	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgHandoverRequest	Guami	plmn_identity	1	Payload	bytes		
CuCpNgHandoverRequest	Guami	amf_region_id	2	Payload	int64		
CuCpNgHandoverRequest	Guami	amf_set_id	3	Payload	int64		
CuCpNgHandoverRequest	Guami	amf_pointer	4	Payload	int64		
CuCpNgHandoverRequest	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpNgHandoverRequest	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpNgHandoverRequestAcknowledge	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgHandoverRequestAcknowledge	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgHandoverRequestAcknowledge	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgHandoverRequestAcknowledge	Guami	plmn_identity	1	Payload	bytes		
CuCpNgHandoverRequestAcknowledge	Guami	amf_region_id	2	Payload	int64		
CuCpNgHandoverRequestAcknowledge	Guami	amf_set_id	3	Payload	int64		
CuCpNgHandoverRequestAcknowledge	Guami	amf_pointer	4	Payload	int64		
CuCpNgHandoverRequestAcknowledge	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpNgHandoverRequestAcknowledge	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpNgHandoverRequired	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgHandoverRequired	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgHandoverRequired	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgHandoverRequired	Guami	plmn_identity	1	Payload	bytes		
CuCpNgHandoverRequired	Guami	amf_region_id	2	Payload	int64		
CuCpNgHandoverRequired	Guami	amf_set_id	3	Payload	int64		
CuCpNgHandoverRequired	Guami	amf_pointer	4	Payload	int64		
CuCpNgHandoverRequired	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpNgHandoverRequired	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpNgInitialContextSetupFailure	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgInitialContextSetupFailure	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgInitialContextSetupFailure	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgInitialContextSetupFailure	Guami	plmn_identity	1	Payload	bytes		
CuCpNgInitialContextSetupFailure	Guami	amf_region_id	2	Payload	int64		
CuCpNgInitialContextSetupFailure	Guami	amf_set_id	3	Payload	int64		
CuCpNgInitialContextSetupFailure	Guami	amf_pointer	4	Payload	int64		
CuCpNgInitialContextSetupFailure	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpNgInitialContextSetupFailure	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpNgInitialContextSetupRequest	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgInitialContextSetupRequest	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgInitialContextSetupRequest	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgInitialContextSetupRequest	Guami	plmn_identity	1	Payload	bytes		
CuCpNgInitialContextSetupRequest	Guami	amf_region_id	2	Payload	int64		
CuCpNgInitialContextSetupRequest	Guami	amf_set_id	3	Payload	int64		
CuCpNgInitialContextSetupRequest	Guami	amf_pointer	4	Payload	int64		
CuCpNgInitialContextSetupRequest	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpNgInitialContextSetupRequest	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpNgInitialContextSetupResponse	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgInitialContextSetupResponse	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgInitialContextSetupResponse	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgInitialContextSetupResponse	Guami	plmn_identity	1	Payload	bytes		
CuCpNgInitialContextSetupResponse	Guami	amf_region_id	2	Payload	int64		
